ID,Name,a,e,i,H,H_std,D,D_std,dadt,dadt_std,P,P_std,Q,Ref,SNR
4581,Asclepius,1.022636912,0.357052277,4.917322687,20.7,NaN,NaN,NaN,-0.001962,0.000566,8.008,NaN,8,B,3.466431095
136582,1992BA,1.341778965,0.067828032,10.49794588,19.9,NaN,NaN,NaN,-0.00204,0.00059,NaN,NaN,NaN,A,3.457627119
467351,2003KO2,0.72738076,0.510953448,23.50037426,20.5,NaN,NaN,NaN,0.006559,0.001905,6.48,NaN,6,B,3.443044619
152671,1998HL3,1.128844343,0.36596219,2.679578674,20.1,NaN,0.298,0.007,-0.003192,0.00093,NaN,NaN,NaN,A,3.432258065
136582,1992BA,1.341778965,0.067828032,10.49794588,19.9,NaN,NaN,NaN,-0.002003,0.000596,NaN,NaN,NaN,B,3.360738255
256004,2006UP,1.586833477,0.301679888,2.283910647,23,NaN,NaN,NaN,-0.006516,0.00195,NaN,NaN,NaN,A,3.341538462
2063,Bacchus,1.078099129,0.349507931,9.431132049,17.3,NaN,1.024,0.02,-0.000697,0.00021,14.904,NaN,8,A,3.319047619
265482,2005EE,1.12903659,0.327719756,6.172856921,21.2,NaN,NaN,NaN,0.004108,0.00124,2.6534,NaN,3,A,3.312903226
344074,1997UH9,0.8300224,0.474726405,25.49024423,18.8,NaN,NaN,NaN,0.003234,0.00098,NaN,NaN,NaN,A,3.3
NaN,2003YS17,0.931101896,0.313296493,6.520584739,21.6,NaN,0.162093134,NaN,-0.004411401,0.001337084,NaN,NaN,NaN,D,3.299270072
7341,1991VK,1.842120155,0.506593138,5.419121587,16.7,NaN,0.982,0.316,-0.000254,7.70E-05,4.2096,NaN,8,B,3.298701299
350523,2000EA14,1.116989861,0.202555028,3.555331418,21,NaN,NaN,NaN,0.002405,0.00073,NaN,NaN,NaN,A,3.294520548
162694,2000UH11,0.870288255,0.422375527,32.22543872,19.6,NaN,NaN,NaN,-0.003062,0.00093,NaN,NaN,NaN,A,3.292473118
256004,2006UP,1.586833477,0.301679888,2.283910647,23,NaN,NaN,NaN,-0.006461,0.001969,NaN,NaN,NaN,B,3.281361097
450300,2004QD14,0.941698603,0.337847261,6.24818793,20.5,NaN,NaN,NaN,-0.005761,0.001765,NaN,NaN,NaN,B,3.264022663
